47	2
2	2
57	2
9	38
68	40
23	40
49	40
70	43
70	62
49	62
66	5
5	5
9	17
66	17
35	17
70	8
8	8
4	57
32	54
68	54
70	54
64	64
43	64
9	66
66	66
35	66
5	66
32	68
23	68
8	68
9	35
66	35
9	45
5	45
64	32
68	32
70	32
23	32
49	32
8	70
11	21
63	21
21	21
52	21
7	21
27	21
57	21
31	21
4	21
24	21
16	21
36	36
44	36
30	36
71	36
46	36
14	36
20	36
42	36
23	36
9	65
44	65
19	65
26	65
10	65
65	65
18	65
44	14
6	14
71	14
46	14
53	14
14	14
28	14
68	14
36	44
7	44
44	44
67	44
6	44
30	44
71	44
46	44
14	44
60	44
18	44
16	44
55	23
36	23
44	23
6	23
71	23
46	23
14	23
60	23
28	23
18	23
23	23
11	4
21	4
52	4
9	4
7	4
27	4
57	4
31	4
24	4
16	4
47	6
44	6
6	6
46	6
53	6
14	6
28	6
18	6
49	6
36	20
52	20
6	20
30	20
46	20
20	20
42	20
49	20
50	9
9	9
66	9
19	9
28	9
4	9
42	9
73	25
55	25
47	25
51	25
25	25
57	25
34	25
11	27
63	27
21	27
52	27
27	27
57	27
31	27
4	27
24	27
16	27
44	60
30	60
28	60
9	42
44	42
30	42
20	42
70	42
36	46
44	46
6	46
30	46
71	46
46	46
14	46
28	46
18	46
70	46
23	46
36	71
9	71
44	71
6	71
30	71
46	71
53	71
14	71
28	71
18	71
23	71
9	69
35	69
5	69
9	10
44	10
19	10
45	10
72	18
29	18
44	18
67	18
6	18
19	18
30	18
46	18
53	18
48	18
28	18
26	18
23	18
49	18
11	31
63	31
21	31
7	31
27	31
57	31
31	31
4	31
24	31
16	31
39	81
50	81
9	81
19	81
53	81
48	81
18	81
11	16
63	16
21	16
27	16
31	16
24	16
6	82
48	82
49	82
11	63
63	63
21	63
27	63
83	63
57	63
31	63
24	63
16	63
73	47
11	47
47	47
6	47
22	47
39	19
11	19
9	19
67	19
6	19
28	19
10	19
22	19
65	19
18	19
49	19
16	19
11	56
21	56
28	56
31	56
24	56
19	39
46	39
28	39
22	39
70	39
39	22
47	22
44	22
67	22
19	22
48	22
28	22
18	22
23	22
49	22
6	29
53	29
28	29
18	29
51	67
44	67
67	67
19	67
48	67
22	67
18	67
11	58
21	58
58	58
31	58
4	58
24	58
72	72
67	72
6	72
19	72
22	72
18	72
23	72
49	72
11	33
33	33
58	33
31	33
4	33
24	33
73	34
11	34
47	34
67	34
23	34
55	73
11	73
47	73
51	73
83	73
23	73
34	73
73	83
11	83
47	83
34	83
39	84
72	84
9	84
19	84
22	84
18	84
49	84
48	49
61	1
70	1
36	30
44	30
67	30
6	30
71	30
46	30
14	30
18	30
20	30
23	30
63	11
21	11
28	11
58	11
31	11
4	11
24	11
34	11
16	11
29	53
9	53
6	53
53	53
14	53
18	53
73	55
55	55
11	55
47	55
51	55
28	55
23	55
4	7
29	26
44	26
6	26
19	26
26	26
65	26
18	26
23	26
49	26
11	28
9	28
6	28
46	28
53	28
28	28
18	28
70	28
23	28
1	61
61	61
9	37
11	24
63	24
21	24
7	24
58	24
31	24
4	24
16	24
28	48
22	48
18	48
49	48
73	51
55	51
11	51
47	51
51	51
67	51
28	51
57	51
23	51
34	51
50	50
9	50
