productId,reviews
B007FQDPL8,917
B001FD5KJM,871
B001C08RHA,871
B00005JPS8,871
B001I1NGHY,871
B001KZG99A,871
B001GAPC1K,871
B001FZ9AAU,870
B004JMSIRC,870
B001HUHBE0,870
B000W4B0Z8,864
B008UBYTRG,864
B000W494SI,864
B001DWNUE2,864
B000S6LS66,864
B000H7I6CU,841
B000ENV5WK,838
B002LW9ITY,838
7883685635,838
B004I654WQ,838
B000V1Y43W,838
B00005JNS0,838
B000H5U832,838
B005ZMUQCK,838
B004OBQDJ8,838
B0049J3QF4,838
B000E5LEXS,828
B000NPNDFQ,828
B000S5KGH4,828
B001KEGR8Y,818
B001684L0A,816
B001FZ9AAK,803
B001HUHBDQ,803
B001IA2PTK,803
B001DTPZNY,803
B001E75QGG,803
B00005JPO1,803
B000ARIS52,800
B000BCKFWK,800
B000ML11RI,800
B000ML18KS,800
B000ML0YTE,800
B0065AVS0K,800
B0009PBNFW,800
B0065AVWGU,800
B000BU0B6W,800
B004AH59TG,800
B001R4KQDE,800
B004SIP9Z6,800
B000ML4VKC,800
B004SIPA4G,800
B004SIPA0A,800
B000A1C68S,800
B00005JNTX,800
B0009VCSXW,800
B001D2WUAC,797
B0032CNOK6,797
B000NGTJTY,797
B005GHP32W,797
B000M341QE,797
B000M341QO,797
B000V7O0GM,797
B0090XJJT6,797
B0010DRYSC,797
B0010DRYS2,797
B002VWOMLI,797
B0083SI9AY,797
B000NHPCS0,797
B004L9GLKE,797
B000M5AJQI,797
B000M5AJQ8,797
B000M5AJQS,797
B001BYLFFS,797
B0012GE91W,784
B004P9FAJS,784
B004P9FAKW,784
B0024NSG48,784
B004OOJ1Y4,784
B000W7F5SS,784
B004GJYRAK,784
B000W7GFG4,784
B000W7GKWI,784
B00005JPI2,784
B0010SQYE2,784
B001MBUGLY,776
B006H8JJXS,774
B00449H5UQ,774
B001MP44K4,774
B001G2MB2G,774
B001QIVEV4,774
B001QIVEUK,774
B004SIP90G,774
B004SIP910,774
B004SIP8ZW,774
B004SIP8ZM,774
B006H90TLI,774
B0011BE3K0,774
B00118T63C,774
B002LBKDYE,771
B002VRZEYM,771
B0027BOL4G,771
B002UZ5CHO,771
B0016RDEH2,757
B0090XHWVS,756
B000HVHM5S,756
B000I2JKFG,756
B000I186FW,756
B001TK80AW,756
B000FS9FCG,756
B000FS9FCQ,756
B000FS9FC6,756
B000UYBP0K,755
B000WSLCAC,755
B003Y1D7UC,755
B002VWOMT0,755
B003XC1OP2,755
B000QVFMUQ,755
B004AFQZFA,755
B00005JPA6,755
B001K2KM8M,755
B000O76ZQC,755
B0024NSG52,754
B001K2KM8W,754
B000WSLAUO,746
B0017XD3OY,742
B0013FFMOK,742
B0014CDKVY,742
B003PAXONC,742
B003PAXOO6,742
B00005JPTK,742
B004L9GLZO,742
B0013FBTHO,742
B0013FBS20,742
B0013FDM7E,742
B0024NSG4I,739
B0018HC3QS,739
B001G7SS96,739
B001FS4ZBG,739
B002Q9VPFM,732
B0028R765A,732
B002EDH0FE,732
B002BNKQDK,732
B001VNWB5W,732
B0093ICOE0,732
B002KEDQJQ,732
B0029NY9Y4,732
B0029NY9YO,732
B004L9GM7Q,732
B001TJV0M8,732
B001TJV0L4,732
B001QTXM5Y,732
B002E4XQOW,728
B0068FZ0ZG,728
B0068FZ1AU,728
B004ZJZPZC,728
B001GKJ2FW,728
B001GKJ2FM,728
B001GKJ2DY,728
B001GKJ2DO,728
B001N4RORE,728
B001OIXU0O,728
B002IW8V0E,728
B001NKI60W,728
B001NZUGG4,728
B002LMOCDQ,728
B001OHS8BQ,724
B001KEHAFI,724
B001HN68ZU,724
B000VFH5Z2,721
B000VBJEEG,721
B000VBJEFK,721
7883704540,721
B004UFEJS0,721
B004WX8HFG,717
B004WO6BPS,717
B0064ORVCQ,717
B004WO774M,717
B004WQ1LLA,717
B006FXJVHY,717
B008UZ7MUI,717
B006AM4UUS,717
B004MPEFBE,717
B001UV4XI8,717
B004WMKSH2,717
B004OBQDH0,717
B001BN4WN6,715
B0018QCXGY,715
B001AOKA3W,715
B0014Z4OQG,715
B0016HMYEQ,715
B00867GKIK,710
B004UFEJVW,710
B000JVT09C,702
B001F3FUK6,702
B0028OA3EY,702
B0028OA3EO,702
B000LB4DWO,702
B000V7O0H6,702
B001OMJGD0,702
B000J10KTQ,702
B000J10ERO,702
B000J10ER4,702
B000J10EQU,701
